ID,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income
51055,LP002585,1,1,1,0,0,5214,0,40,361,1,0,0,6000
94616,LP001265,1,1,1,0,0,8314,0,17,366,1,2,1,5166
58581,LP002187,1,1,0,0,0,5779,5584.864002,71,401,0,1,1,6000
20141,LP002544,1,1,0,0,0,1985,353.7587142,53,352,1,1,1,3750
75867,LP002560,1,1,1,0,0,470,0,268,370,1,1,1,3750
98206,LP002231,1,1,0,0,0,7922,411.4524388,17,366,1,0,1,7200
51526,LP002187,1,1,0,0,1,16386,1320.904341,17,359,1,1,1,6000
82924,LP002368,1,1,0,0,0,8279,0,50,372,1,1,0,3750
95983,LP002231,1,1,0,0,0,3759,511.3032222,17,371,1,2,1,6000
82637,LP002224,1,1,3+,0,0,6651,0,149,358,1,0,0,6000
38010,LP002187,1,1,0,0,0,150,0,240,351,1,2,1,3750
67106,LP001698,1,1,0,0,0,8169,0,17,371,1,1,1,7200
47497,LP002231,1,1,0,0,0,6932,0,28,352,1,1,1,3750
60419,LP001656,1,1,2,0,0,3919,719.8016629,355,356,1,1,0,7200
21126,LP002224,0,1,0,0,0,6819,1000.216418,234,426,1,0,1,3750
44502,LP002231,1,0,1,0,1,4869,0,17,368,0,1,1,3750
26526,LP002231,1,1,0,0,0,6972,305.2595879,17,198,1,1,1,7200
67885,LP002585,1,1,0,0,0,8236,3342.851652,17,358,1,2,1,7200
49155,LP002175,1,0,1,0,0,4048,0,252,348,1,0,0,3750
36073,LP002187,1,1,2,0,0,16259,0,185,373,1,1,0,6000
44411,LP002367,1,1,2,0,0,150,942.207198,57,372,1,1,1,6000
54659,LP002225,1,1,0,0,0,4624,0,17,367,1,0,1,3716
62126,LP001844,1,1,0,0,0,8418,2623.442745,47,354,1,1,1,3750
49242,LP002585,1,1,1,0,0,10999,0,257,366,1,1,1,6000
44824,LP002175,1,1,1,0,1,3049,0,17,364,1,1,1,3750
31203,LP002582,1,1,0,0,1,3935,0,235,368,1,1,1,6000
90037,LP002231,1,1,0,0,1,8029,421.6016627,17,358,1,1,1,6000
47233,LP001768,1,1,0,1,0,14071,0,17,366,1,1,1,3750
50224,LP002231,1,1,2,0,0,150,350.1350922,17,372,1,1,0,3750
59194,LP002231,1,1,0,0,0,150,0,25,363,1,0,1,3750
44838,LP002219,1,1,0,0,0,150,0,241,372,0,0,1,3750
61898,LP001914,1,1,1,0,0,150,0,17,360,1,1,1,3750
71389,LP001369,1,1,1,0,0,150,0,17,349,1,1,0,3750
42111,LP002585,1,1,0,0,0,1420,0,36,362,1,1,0,18333
43517,LP002231,1,1,0,0,0,3245,0,67,363,1,2,1,6000
16419,LP001448,0,1,0,0,0,4462,0,77,372,1,0,0,3750
48764,LP002585,1,1,1,0,1,8255,456.708833,17,362,1,1,1,6000
82693,LP002187,1,1,2,0,1,6069,0,17,372,1,0,1,3750
41475,LP002582,1,1,0,0,0,317,0,17,367,1,1,1,5166
96100,LP001765,1,1,0,1,0,16494,0,17,363,1,1,1,3750
86867,LP002187,1,1,1,0,0,150,0,260,368,1,2,1,3750
75731,LP001316,1,1,0,1,0,16123,294.1523451,27,370,1,2,1,6000
59298,LP002187,1,1,0,0,0,8391,0,178,350,1,1,1,3750
52995,LP002585,1,1,0,0,0,7297,0,153,372,1,1,1,6000
29716,LP001498,1,1,1,0,0,8119,66.64095368,34,368,1,0,1,6000
67326,LP002187,1,1,0,0,0,15059,0,269,373,1,1,1,3750
94297,LP001790,1,1,0,0,0,1669,283.4990536,30,372,0,2,0,6000
92875,LP001790,1,1,1,1,0,2310,555.0306888,17,372,1,2,1,3750
64795,LP002231,1,1,3+,0,0,1106,0,17,359,0,0,1,3750
70121,LP001206,1,0,0,0,0,6766,377.3902796,171,358,1,2,1,6000
52424,LP002585,1,1,0,0,0,7245,4120.786282,228,373,1,0,0,3750
42443,LP002187,1,1,0,0,0,7815,0,76,358,1,0,1,3750
11715,LP002187,1,0,0,0,0,6063,0,106,358,1,2,1,6000
51523,LP002231,1,0,2,1,0,16187,0,226,371,1,0,1,6000
19407,LP002585,1,1,0,0,0,6724,0,95,373,1,1,1,3750
65519,LP002103,1,1,1,0,1,7866,252.8527587,210,372,1,2,1,6000
47433,LP002224,1,1,1,0,0,150,3893.50224,17,364,1,2,0,6000
48481,LP002175,1,1,1,0,0,1167,0,267,367,1,1,1,3750
80477,LP002187,1,0,0,0,0,7125,0,37,369,1,2,1,3750
59082,LP002585,1,0,1,0,0,150,0,26,365,1,0,1,6000
73698,LP002560,0,0,0,0,1,150,0,17,351,0,1,1,18333
45129,LP002187,1,0,0,0,0,16450,0,17,357,1,2,1,3750
54590,LP002434,1,1,0,0,0,7661,36.04196417,17,364,0,1,1,6000
97865,LP002187,1,1,1,0,0,5363,0,267,371,1,1,1,6000
49984,LP002560,1,1,1,0,0,150,0.642778739,154,377,1,0,1,6000
87095,LP002181,1,1,0,0,0,6009,4205.522232,236,366,1,1,1,3750
10405,LP002585,1,1,0,0,0,1236,3362.786058,148,372,1,1,1,3750
70027,LP002530,1,0,0,0,0,7804,1422.937698,17,357,1,1,0,6000
63291,LP002187,1,1,0,0,0,7612,820.5526275,17,253,1,2,1,3750
15562,LP002175,1,1,3+,0,0,150,0,84,369,1,1,1,3750
98151,LP001349,1,0,1,0,0,5622,3337.937192,17,301,1,1,1,3750
89827,LP001421,1,1,3+,0,0,31959,0,104,360,1,2,1,3750
66963,LP002585,0,1,1,0,0,7710,496.8841978,17,394,1,1,1,3750
53521,LP001448,1,1,1,0,0,8416,702.7289728,17,371,1,0,1,3750
51776,LP001693,1,0,3+,0,0,11116,0,17,366,1,1,1,6232
69056,LP002560,1,1,0,0,0,608,1605.570196,137,373,1,2,1,7200
96563,LP002187,1,1,0,0,0,8208,199.2993882,41,358,1,0,1,5166
69067,LP002231,1,1,1,0,0,1868,1266.481218,249,373,1,1,1,6000
94439,LP002211,0,1,1,0,0,2225,64.99256502,252,371,1,0,1,3750
94670,LP002224,1,1,2,0,1,15992,2311.561289,17,351,1,2,1,3716
40996,LP001963,1,1,0,0,0,150,0,82,350,1,2,1,6000
90284,LP002560,1,1,2,0,1,2510,888.8059639,182,371,1,1,1,6000
42070,LP002158,0,1,0,0,0,5118,4.368153726,17,273,1,1,1,6000
39911,LP001385,1,1,0,0,1,5964,695.8330467,207,350,1,2,1,3750
34278,LP002175,1,1,0,0,0,8349,0,38,357,1,1,1,6000
71561,LP002231,1,1,0,0,0,150,3664.64372,240,371,1,2,1,3547
68074,LP002187,1,1,2,0,0,507,3750.175283,78,354,1,1,1,6000
22401,LP001835,1,1,0,0,0,16176,20000,17,359,1,2,1,6000
80376,LP001384,0,1,1,0,0,13741,0,32,365,1,1,0,6000
95021,LP002585,1,1,0,0,1,8162,0,257,371,1,0,1,6000
98028,LP002231,0,1,3+,1,0,7632,627.03078,50,361,1,0,1,6000
61990,LP001778,1,1,0,0,0,8287,529.9942979,54,372,1,2,1,6000
59559,LP002377,1,1,0,0,0,16451,0,17,371,1,1,1,7200
19385,LP001431,1,0,0,0,0,8172,2023.132603,17,367,1,0,1,3750
12241,LP002175,1,0,0,0,0,19036,0,17,480,1,1,0,5166
61706,LP002585,1,1,0,0,0,150,3618.086776,17,372,1,2,1,3750
72954,LP002560,1,0,0,0,0,8412,0,17,366,0,0,0,7200
66248,LP002571,1,1,0,0,0,30513,4279.953412,30,370,1,2,0,6000
28968,LP002175,1,1,0,0,0,6831,0,101,354,1,0,0,3750
53178,LP002175,1,1,2,0,0,3302,1635.402898,167,394,1,0,1,6000
23352,LP001806,0,1,0,0,1,583,0,17,365,1,1,1,6000
19073,LP001776,1,0,0,0,0,8409,3383.074506,17,373,1,2,1,6000
93189,LP001972,1,1,0,0,0,5971,0,266,372,1,2,1,4676
30976,LP002175,1,1,0,0,0,15316,0,53,351,1,0,0,6000
15079,LP001422,1,1,0,0,0,7488,474.5996217,51,370,1,2,1,7200
11114,LP002231,1,1,3+,0,1,8405,0,17,368,1,2,1,6000
66527,LP002187,1,1,0,0,0,989,0,17,366,1,0,1,3750
29204,LP002175,1,1,0,0,0,7514,0,17,371,1,1,0,3750
73667,LP002585,1,1,1,0,0,150,0,223,364,1,1,1,3750
23550,LP002223,1,1,1,0,0,150,0,700,362,1,1,1,6000
70885,LP002231,1,1,2,0,0,81000,0,17,366,1,0,1,5166
19544,LP002187,0,1,1,0,0,8284,2973.85991,35,358,1,1,1,6000
60205,LP002585,1,1,0,0,0,8390,290.3175906,44,230,1,1,1,3750
93539,LP002224,1,1,3+,0,0,1502,0,17,363,0,1,1,6000
51059,LP002187,1,1,0,0,0,5989,1530.583571,78,371,1,2,1,3750
98574,LP002347,1,1,0,0,1,289,32.81745174,184,371,1,0,1,6000
48736,LP002231,1,1,1,0,0,3970,164.2248999,262,370,1,1,1,5166
95033,LP002209,1,1,0,0,0,4920,3554.044143,49,373,1,2,1,6000
14463,LP002224,1,1,3+,0,0,7747,262.1271674,17,348,1,2,0,6000
46480,LP002224,1,0,0,0,0,15059,0,94,362,1,0,1,3750
73425,LP002224,1,1,0,0,0,9176,0,17,357,1,0,1,3547
74395,LP001778,1,1,1,1,0,452,0,70,372,1,0,1,3750
70347,LP002444,1,1,0,0,0,5976,2255.289431,52,376,1,1,1,6000
26493,LP002231,1,1,0,0,0,8208,0,17,356,0,2,0,3750
49591,LP002175,1,0,1,0,0,150,0,239,372,0,2,1,3750
63701,LP002231,1,0,0,0,0,8403,0,17,12,1,1,1,6000
83135,LP002560,0,0,0,0,0,961,0,189,373,1,2,1,6000
10215,LP002231,1,1,1,0,0,6756,1524.65088,17,387,1,0,1,3750
53294,LP002231,1,0,2,0,0,8341,0,235,372,1,1,1,3750
57434,LP001790,1,1,1,0,0,8416,707.429538,17,372,1,2,0,3547
34725,LP002560,1,1,0,0,1,81000,0,49,373,1,2,1,3750
88281,LP002545,1,1,0,0,1,8344,0,17,373,0,0,1,3750
41472,LP002522,1,0,0,0,0,7132,0,17,364,1,1,1,6000
17396,LP002143,1,1,1,0,0,150,97.86270876,143,353,1,1,1,18333
73444,LP001541,1,0,0,0,0,30835,0,17,15,1,1,1,6000
85862,LP002231,1,1,0,0,0,8253,2864.615041,17,350,1,2,0,6000
63861,LP002161,1,1,0,0,0,8283,2298.881893,17,348,1,1,1,3750
13587,LP001778,1,1,0,0,0,15054,0,17,371,1,0,1,5166
46404,LP001038,1,1,3+,0,0,1700,0,200,371,1,2,1,3750
67588,LP002585,1,1,0,0,1,6209,0,95,357,1,1,0,6000
99087,LP001194,1,1,0,0,0,6588,1289.608097,17,399,1,1,1,6000
60104,LP002175,1,1,0,1,0,6442,0,17,480,1,0,1,3750
71445,LP002231,1,1,3+,0,0,7275,1537.392927,234,372,1,0,1,6000
69762,LP002175,1,1,0,0,0,24090,0,260,370,1,2,1,3750
75941,LP001778,1,1,0,1,0,15122,717.2696285,17,370,1,1,1,3750
65624,LP002366,1,0,0,0,0,16316,0,17,372,0,0,1,3750
82532,LP002139,1,1,0,1,0,2154,0,251,371,0,2,1,6000
61676,LP002180,1,0,1,0,0,7660,0,19,372,1,1,1,3547
86337,LP002231,1,1,0,0,0,7826,0,247,369,1,1,1,3750
67230,LP001267,1,0,0,0,0,7282,2.461319197,17,372,0,1,1,4652
12394,LP002231,0,0,3+,0,0,14935,1845.023718,17,352,1,1,0,6000
26948,LP002187,1,1,0,0,0,8275,1937.897983,305,349,1,1,1,3750
14106,LP001883,1,1,1,0,0,2788,0,17,372,1,2,0,6000
87956,LP002585,1,0,0,0,1,7626,0,17,372,1,0,1,3750
17205,LP002560,1,1,0,1,0,5599,0,17,363,1,1,1,3750
51906,LP002181,0,1,1,0,0,150,2717.537967,17,360,1,2,1,6000
29964,LP002337,1,1,0,0,1,5136,0,159,372,1,2,1,6000
66763,LP001448,1,0,0,1,0,9140,0,17,362,1,1,1,6000
46102,LP002560,0,1,0,0,0,6090,0,262,239,0,2,1,3750
81594,LP001369,1,1,0,0,0,4081,0,17,348,0,2,1,3750
92029,LP001385,1,0,0,0,0,2376,0,17,369,1,1,1,6000
68250,LP002229,1,1,0,0,0,7957,0,17,352,1,0,1,6000
47303,LP002175,1,1,0,0,0,3125,0,261,372,1,0,1,3750
77532,LP002585,1,1,0,0,0,32191,0,17,363,1,1,1,3750
12046,LP001369,1,1,0,0,0,3628,4104.979812,169,357,1,2,1,6000
30395,LP002585,1,1,0,0,0,7392,3316.37728,17,365,1,0,1,3750
17908,LP001849,1,1,0,0,0,8279,2665.773693,17,411,1,1,1,3750
25406,LP002187,1,1,2,0,0,7819,4275.231988,17,371,1,0,1,3750
43411,LP002043,1,1,0,0,0,14207,0,44,357,0,1,1,3750
34589,LP001963,1,1,0,0,0,3666,0,219,368,0,1,1,6256
37071,LP001385,1,1,0,0,0,16473,468.8962861,17,362,1,1,1,6000
40887,LP002224,1,1,0,0,0,3540,0,17,50,1,1,1,3750
56909,LP002231,1,1,0,0,0,3220,0,21,349,1,0,1,3547
54733,LP002187,1,1,1,0,0,1532,0,17,358,1,2,1,6000
91440,LP002139,1,0,1,0,0,7406,0,17,350,1,1,0,7200
19771,LP002187,1,1,0,0,0,8206,5273.635439,17,368,1,1,1,3750
29634,LP001426,1,1,1,0,0,2951,0,17,360,1,1,1,6000
24041,LP002585,1,1,0,0,0,4914,4274.830625,97,373,1,1,1,6000
16098,LP001385,1,1,0,0,0,7079,2887.06857,17,364,1,0,1,6000
80326,LP002116,1,0,0,0,1,8306,0,17,366,1,1,1,3750
51265,LP002237,1,1,1,0,0,1882,0,176,354,1,0,1,3547
18831,LP002560,1,1,0,0,0,150,0,260,373,1,1,1,6000
10486,LP002224,1,1,0,0,0,8208,430.5666624,17,350,1,2,1,3750
83734,LP002224,1,1,0,0,0,150,0,17,369,1,2,1,5166
58589,LP002582,1,0,0,0,0,150,0,131,357,1,2,1,3750
48699,LP002051,1,1,1,0,0,14355,0,17,359,1,1,1,3750
43243,LP002560,1,1,3+,1,1,4778,0,118,410,1,2,1,7200
24327,LP001422,1,0,0,0,0,31827,2176.20078,17,355,0,1,1,3750
49143,LP001868,1,1,1,0,0,4192,3590.593849,17,372,0,2,1,6000
29134,LP002128,1,1,0,1,0,16455,997.8265627,17,371,1,1,0,6000
78901,LP001385,1,1,0,0,0,16496,0,38,352,1,1,1,6000
35123,LP002585,1,1,0,0,0,81000,0,43,273,1,2,1,3750
18576,LP002175,1,1,0,0,0,8058,3310.362608,17,356,1,1,1,6000
49500,LP002187,1,1,0,1,0,16491,208.5382373,17,358,1,1,1,3750
67867,LP002231,1,1,1,0,0,8222,0,17,351,1,1,1,7200
57428,LP002175,1,1,0,0,0,14505,0,17,363,1,0,1,5166
77472,LP002175,0,1,0,0,0,5025,2149.714453,66,132,1,1,1,3750
59158,LP002187,1,1,0,0,0,8303,0,17,353,1,1,0,6000
86623,LP002231,1,1,0,0,0,8249,612.1183873,17,350,1,2,1,6000
16703,LP002582,1,1,0,0,0,1919,371.1404247,230,369,1,0,0,6000
22928,LP002585,1,1,0,0,0,8103,499.760895,148,360,1,1,1,3750
27742,LP002560,1,1,1,0,0,25416,3329.772406,51,347,1,1,1,6000
97057,LP002231,1,1,0,0,0,3060,1207.013971,17,349,1,0,1,6000
47048,LP002054,1,1,1,1,0,6611,0,122,349,1,0,0,18333
12011,LP002187,1,1,1,0,0,150,8451.992576,17,364,1,1,1,6000
99945,LP002582,1,1,0,0,0,7492,0,17,372,1,0,0,3750
41650,LP002187,1,1,1,0,0,16307,0,17,369,1,2,1,6000
70210,LP002560,1,1,0,1,0,13319,1835.43642,184,372,1,1,1,6000
46569,LP002187,1,1,1,0,0,5920,462.8228524,234,372,1,2,1,3547
66845,LP002229,1,1,0,1,0,150,0,17,365,1,0,0,3750
39066,LP002224,1,1,0,0,1,1701,0,39,372,1,1,1,6000
12616,LP002585,1,1,0,0,0,6358,2899.935267,17,367,1,1,1,3750
97461,LP002175,1,1,0,0,1,5706,3636.42583,262,370,1,1,1,3750
57418,LP002231,1,1,1,0,1,950,4119.793306,218,363,0,2,1,6000
92787,LP002560,1,0,1,0,1,3873,0,17,355,0,1,1,3547
16448,LP001790,0,1,0,0,0,150,1567.873551,46,352,1,2,1,6000
33471,LP002175,1,1,0,0,0,6438,113.448553,263,368,1,1,1,3750
57059,LP002582,1,1,0,0,0,7015,2976.701407,17,12,1,2,1,3750
81176,LP002585,1,1,0,0,0,150,711.2308098,257,373,1,1,1,6000
49447,LP002187,1,1,1,1,0,2901,0,17,368,1,0,1,6000
13264,LP001448,0,1,0,0,0,11908,4075.279252,170,366,1,2,1,3750
60377,LP002224,1,1,0,1,0,10231,0,17,370,1,0,1,6000
97774,LP002585,1,1,3+,1,0,8402,384.1033901,73,362,1,0,0,6000
74738,LP002181,1,1,0,0,0,7792,0,28,372,1,1,1,3750
16285,LP002585,1,1,0,0,0,843,0,251,372,1,1,1,6000
39359,LP001790,1,1,1,0,0,150,3866.758225,40,355,1,0,0,6000
87437,LP002582,1,1,0,0,0,8335,0,17,389,1,1,1,3750
28451,LP002560,1,1,3+,0,1,8206,0,231,368,1,1,1,6000
44114,LP002585,1,1,0,0,0,8387,593.5076264,17,366,1,0,1,6000
86904,LP001603,1,1,0,0,0,15527,0,17,372,1,2,1,6000
37011,LP002224,1,0,0,0,0,8152,0,17,372,1,2,1,3750
82467,LP002560,1,0,0,0,1,368,3958.121525,17,363,1,2,1,6000
55353,LP002187,1,1,0,0,0,16463,2804.906176,17,359,1,2,1,6000
79786,LP002175,1,1,0,0,0,150,30.31276044,263,371,1,1,1,3750
20481,LP001488,1,1,3+,0,0,7099,0,17,367,1,1,1,6000
78794,LP001790,1,1,0,0,0,536,3752.101594,263,425,1,1,1,3750
89290,LP002585,1,1,2,0,0,22487,2130.930087,260,371,1,1,1,6000
58064,LP002224,1,0,0,0,1,7543,0,345,242,1,1,0,6000
75095,LP001426,1,1,1,0,0,7507,0,17,354,1,2,1,3750
88552,LP002231,0,1,0,0,0,7059,0,238,372,1,2,1,6256
91798,LP002487,1,0,0,0,0,6816,4182.58525,209,372,1,2,1,3750
83040,LP001106,1,1,0,0,0,4826,502.8033309,165,363,1,1,1,3750
34298,LP002560,1,1,1,0,0,5092,3521.477337,17,370,1,1,0,6000
37799,LP001760,1,1,0,0,0,8263,0,154,368,1,1,1,6000
43131,LP002585,1,1,0,0,0,150,3939.184467,196,371,1,1,1,6000
24884,LP001776,1,1,2,0,0,5032,0,197,373,1,2,1,3750
71299,LP001310,1,1,0,0,0,7983,507.1001684,165,353,1,2,1,18333
27180,LP001581,1,1,0,0,0,7206,0,26,370,0,0,1,6000
43664,LP001790,1,1,0,0,0,16350,2027.164086,44,360,1,0,1,6000
29701,LP002180,1,1,2,1,0,14795,62.80519822,165,372,1,2,1,3750
21806,LP002231,1,1,1,0,0,150,0,17,348,1,0,1,3750
34489,LP002229,1,0,0,0,0,3601,0,221,372,1,0,1,6000
60894,LP002181,1,1,3+,0,0,17611,523.4107894,34,363,1,1,1,3750
12627,LP002585,1,1,0,0,0,8216,391.2459982,159,349,1,1,1,7200
84209,LP002560,1,1,1,0,0,8318,0,36,372,1,2,1,3547
98826,LP002187,1,1,1,0,0,27994,868.4065711,499,352,1,1,1,6000
36503,LP002187,0,1,0,0,0,3089,0,33,373,1,2,1,3750
68377,LP002187,1,1,3+,0,0,1362,0,17,356,1,1,0,3750
93153,LP002175,1,1,0,1,0,6278,74.15119932,146,373,1,2,1,3750
92107,LP001536,1,1,0,1,0,10949,3894.582255,230,373,1,1,1,6000
79458,LP001776,1,1,0,0,0,29918,3950.426812,17,371,0,0,1,3750
78513,LP002231,1,0,0,0,0,5632,0,17,358,0,0,1,6000
93426,LP002231,1,1,1,0,0,8407,18480.53945,17,357,1,1,1,3750
42463,LP002175,1,1,1,0,0,5959,676.9794715,265,372,1,1,1,6000
82116,LP002585,1,0,1,0,0,6898,254.4919511,149,373,1,2,1,3750
15650,LP001385,1,1,0,0,1,150,1392.875695,225,373,1,1,1,6000
37030,LP002585,1,1,0,0,0,150,0,257,373,1,0,1,3750
96596,LP001541,1,1,1,0,0,4684,0,167,361,1,1,1,3750
13888,LP002255,1,1,3+,0,0,15953,1490.485403,31,369,1,1,1,18333
44519,LP002585,1,0,1,0,0,150,857.6565516,17,359,1,1,1,18333
68726,LP002231,1,1,0,0,0,68778,0,17,363,1,0,1,6000
48359,LP002224,0,0,0,0,0,150,0,155,370,1,1,1,6000
89358,LP002434,1,1,0,0,0,5325,3709.870194,46,410,0,2,0,3547
44078,LP002224,1,1,0,0,0,31809,0,188,350,1,2,1,6000
84847,LP001086,1,1,0,0,1,7869,0,17,371,1,1,1,3750
64638,LP002181,1,1,0,0,0,150,0,63,366,1,0,1,18333
75373,LP002231,1,1,1,0,0,150,202.4590295,262,370,1,1,1,3547
69214,LP001478,1,1,0,0,0,150,4186.949459,17,358,1,0,1,3750
40285,LP001385,1,0,0,1,0,1309,0,155,356,1,1,1,6000
29810,LP001790,1,1,1,0,0,729,1674.831719,188,371,1,0,1,3750
86400,LP002086,1,1,0,0,0,8364,0,17,365,1,1,1,3750
36476,LP002536,1,1,0,0,0,150,547.7338729,17,348,0,0,1,6000
29629,LP002560,1,1,1,0,0,8401,0,17,372,1,0,0,6000
59738,LP002175,1,1,2,0,1,2408,0,227,363,1,2,1,3750
52790,LP002231,1,1,2,0,0,1279,438.2635393,17,350,1,2,1,6000
51284,LP002231,1,1,0,0,0,7605,534.9763719,17,373,1,1,0,6000
36877,LP002224,1,1,0,0,0,7884,0,17,369,1,1,0,3750
11037,LP001036,1,1,0,0,0,4397,0,17,366,1,1,1,7200
48211,LP001844,1,1,0,0,0,13877,295.4545165,17,350,1,1,0,3750
59997,LP002103,1,1,2,1,0,6501,1673.60828,17,355,1,1,0,6000
54698,LP002585,1,1,3+,0,1,6122,195.1661193,17,371,1,1,1,6000
13127,LP001401,0,1,0,1,0,7528,0,127,368,1,2,1,6000
56580,LP002224,1,1,1,0,0,5426,2131.827419,17,373,1,0,0,3750
40874,LP002585,1,1,2,0,0,15525,0,17,358,1,1,0,6000
30653,LP002231,1,0,0,0,0,150,0,252,369,1,2,1,3750
85454,LP001036,1,1,0,0,0,5155,0,181,365,1,1,1,3750
10462,LP002231,0,1,1,0,0,6882,0,78,364,1,2,1,5166
56159,LP002250,1,1,0,0,0,10723,0,18,353,1,2,0,3547
53612,LP002560,1,1,2,0,1,8305,793.2409775,17,405,0,1,1,6000
52881,LP002231,1,1,0,0,0,8392,4260.022757,17,371,1,1,1,3750
62273,LP002231,1,1,2,0,0,16426,2976.191984,17,371,1,2,0,3750
25747,LP002187,1,1,0,0,0,8351,0,17,372,1,1,1,6000
13579,LP001448,0,1,2,0,0,7535,68.24684888,113,366,1,1,1,6000
73727,LP002187,1,1,3+,0,0,8193,465.8484149,268,370,1,1,1,3750
54189,LP001385,1,1,0,0,0,7202,0,17,373,1,0,1,6000
68578,LP001790,1,1,0,0,0,150,542.0698105,17,366,1,0,0,6000
33960,LP002231,1,1,0,0,0,150,0,261,372,1,2,1,6000
23915,LP002229,1,1,1,0,0,7094,0,17,354,1,2,1,3750
71183,LP002585,1,0,0,0,0,13939,1486.653015,192,359,1,0,1,6000
10082,LP001369,1,1,1,0,0,27179,3707.604268,164,366,1,2,1,3750
87775,LP002187,1,1,3+,0,0,23575,676.9289044,17,355,1,1,0,6000
24940,LP002231,1,1,0,0,0,8180,3811.51326,79,350,1,2,1,6000
92527,LP002560,1,1,0,1,1,16311,1838.856389,17,349,1,0,1,6000
33825,LP001385,1,1,3+,1,0,16289,710.649381,147,357,1,1,1,3750
13817,LP002175,1,1,0,0,0,1220,0,160,356,1,0,0,6000
96900,LP002585,1,1,0,0,0,15140,2127.302709,17,370,1,2,1,18333
19007,LP002545,1,1,0,0,0,4444,826.7702902,176,362,1,2,1,18333
17290,LP002175,1,1,0,1,0,6864,0,178,251,1,2,0,6000
45069,LP002231,1,1,0,0,0,3664,0,129,372,1,2,1,3750
96525,LP002187,1,1,0,1,0,8627,1264.815947,17,373,1,1,1,3750
64926,LP002226,1,1,0,0,0,8385,561.6337377,36,366,1,2,1,6000
